"1140 Utica Ave, Brooklyn, NYC"
"157 E Westfield Ave, Roselle Park, NYC"
"1803 NYC, New York City, NYC"
"198 Rogers Ave, Brooklyn, NYC"
"2 Floors NYC Nightclub, Manhattan, NYC"
"21 Greenpoint, Manhattan, NYC"
"230 Fifth, New York City, NYC"
"230 Fifth Rooftop, Manhattan, NYC"
"2331 12th Avenue, Manhattan, NYC"
"24hr soul food spot, Brooklyn, NYC"
"2831 Long Beach Rd, Oceanside, NYC"
"30th Ave, Long Island City, NYC"
"30th Ave, Manhattan, NYC"
"318 Lafayette, Manhattan, NYC"
"3BK Dubai, Dubai, NYC"
"420 Bar Lounge, Manhattan, NYC"
"47 Edison Pl, Newark, NYC"
"53 Restaurant, New York City, NYC"
"809 Lounge Restaurant & Sport Bar, Tampa, NYC"
"A Guyanese-Chinese restaurant, North Baldwin, NYC"
"A Hidden Gem, Manhattan, NYC"
"A Mother's Touch, Livingston, NYC"
"A Mothers Touch, Livingston, NYC"
"A Mother’s Touch, Livingston, NYC"
"A Mother’s Touch, Livingston, NYC"
"A Mother’s Touch, NJ, NYC"
"A.R.T Nomad, New York City, NYC"
"Aakosha, Manhattan, NYC"
"Aakosha Bentley, Manhattan, NYC"
"Aarzu, Freehold, NYC"
"Addy’s BBQ, Edison, NYC"
"Agenda Astoria, Astoria, NYC"
"Agenda Astoria, Queens, NYC"
"Ahuevo Cafe, Tolleson, NYC"
"Alam Restaurant, Birmingham, NYC"
"Albariño, Shrewsbury, NYC"
"Aliya Cocktail Den at Hotel Indigo, New York City, NYC"
"Allard, Paris, NYC"
"Amazin Taste, Central NJ, NYC"
"Amazing Taste, South Bound Brook, NYC"
"Amazing Taste, North Plainfield, NYC"
"Americano, Bayonne, NYC"
"Amy Ruth's, Manhattan, NYC"
"Ana’s Hotspot, Toronto, NYC"
"Andaaz, Franklin Park, NYC"
"Angie's Soul House, Long Island, NYC"
"Angora Mediterranean, Teaneck, NYC"
"AnnTremet, New York City, NYC"
"AperiBar, New York City, NYC"
"Aperol Spritz Bar, Manhattan, NYC"
"Apotheke Nomad, New York City, NYC"
"Aqua Boil, New York City, NYC"
"Arlo Nomad Diner, Manhattan, NYC"
"Arlo Nomad Rooftop, Manhattan, NYC"
"Artisano Peruvian Cuisine, New York City, NYC"
"Atlantic Restaurant, Manhattan, NYC"
"Atlantic Restaurant, Manhattan, NYC"
"Atlantic Restaurant, Manhattan, NYC"
"Aura 57, Manhattan, NYC"
"Aura Lounge, Manhattan, NYC"
"Avant Garden, Manhattan, NYC"
"Ayza, New York City, NYC"
"Ayza Wine & Chocolate Bar, New York City, NYC"
"Azul On The Rooftop, New York City, NYC"
"BAP'S, Brooklyn, NYC"
